Date,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-06-06,Do or Dice,"Do or Dice, unit 6b, Addlestone One, Addlestone, Su, KT15 2GN, UK",KT15 2GN,3,14,1h 7m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=Do%20or%20Dice%2C%20unit%206b%2C%20Addlestone%20One%2C%20Addlestone%2C%20Su%2C%20KT15%202GN%2C%20UK,https://tcg.ravensburgerplay.com/events/516130,https://tcg.ravensburgerplay.com/events/434913,£20.00,2026-05-16T13:41:52.873707
2026-06-06,Oxshed Cafe,"5 Ratcliffe Court, Oxshed Cafe, Wallingford, England, OX109QF, GB",OX109QF,8,20,1h 16m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=5%20Ratcliffe%20Court%2C%20Oxshed%20Cafe%2C%20Wallingford%2C%20England%2C%20OX109QF%2C%20GB,https://tcg.ravensburgerplay.com/events/520258,https://tcg.ravensburgerplay.com/events/451980,£15.00,2026-05-16T13:41:48.737834
2026-06-06,The Toy Moon Ltd t/a TMM Games,"5b New Road, Chippenham, SN15 1EL",SN15 1EL,0,12,1h 56m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=5b%20New%20Road%2C%20Chippenham%2C%20SN15%201EL,https://tcg.ravensburgerplay.com/events/582992,https://tcg.ravensburgerplay.com/events/378174,£5.00,2026-05-16T13:41:50.397222
2026-06-06,Forge and Finds,"36, Lloyds Ave, Ipswich, England, IP1 3HD, GB",IP1 3HD,4,13,2h 5m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=36%2C%20Lloyds%20Ave%2C%20Ipswich%2C%20England%2C%20IP1%203HD%2C%20GB,https://tcg.ravensburgerplay.com/events/589546,https://tcg.ravensburgerplay.com/events/348779,£10.00,2026-05-16T13:41:49.245143
2026-06-06,prestige wargaming,"34 Shambles Street, prestige wargaming, Barnsley, England, S702SH, GB",S702SH,1,3,2h 19m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=34%20Shambles%20Street%2C%20prestige%20wargaming%2C%20Barnsley%2C%20England%2C%20S702SH%2C%20GB,https://tcg.ravensburgerplay.com/events/501442,https://tcg.ravensburgerplay.com/events/281623,£10.00,2026-05-16T13:41:53.554682
2026-06-06,Firestorm Games Merthyr,"129 High Street, Merthyr Tydfil, Wales, CF47 8DN, GB",CF47 8DN,0,16,3h 11m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=129%20High%20Street%2C%20Merthyr%20Tydfil%2C%20Wales%2C%20CF47%208DN%2C%20GB,https://tcg.ravensburgerplay.com/events/594716,https://tcg.ravensburgerplay.com/events/521751,£17.00,2026-05-16T13:41:47.677763

2026-06-07,Manaforge Games,"5, Babington Ln, Derby, England, DE1 1SU, GB",DE1 1SU,1,8,1h 31m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=5%2C%20Babington%20Ln%2C%20Derby%2C%20England%2C%20DE1%201SU%2C%20GB,https://tcg.ravensburgerplay.com/events/501901,https://tcg.ravensburgerplay.com/events/428703,£12.00,2026-05-16T13:41:55.851556
2026-06-07,Incom Gaming Ltd,"Church Street, Cheltenham, England, GL50 3HA, GB",GL50 3HA,0,16,1h 42m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=Church%20Street%2C%20Cheltenham%2C%20England%2C%20GL50%203HA%2C%20GB,https://tcg.ravensburgerplay.com/events/597123,https://tcg.ravensburgerplay.com/events/435917,£22.00,2026-05-16T13:41:54.153508
2026-06-07,Rules of Play,"29 Castle Arcade, Cardiff, Wales, CF10 1BW, GB",CF10 1BW,0,17,2h 58m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=29%20Castle%20Arcade%2C%20Cardiff%2C%20Wales%2C%20CF10%201BW%2C%20GB,https://tcg.ravensburgerplay.com/events/512034,https://tcg.ravensburgerplay.com/events/463729,£18.00,2026-05-16T13:41:55.354649
2026-06-07,Harlequins Preston,"52 Manchester Road, Lancashire, England, PR1 3YH, GB",PR1 3YH,0,4,3h 7m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=52%20Manchester%20Road%2C%20Lancashire%2C%20England%2C%20PR1%203YH%2C%20GB,https://tcg.ravensburgerplay.com/events/595105,https://tcg.ravensburgerplay.com/events/462237,£15.00,2026-05-16T13:41:56.615521
2026-06-07,Geek Retreat Sunderland,"30-32 John Street , Sunderland, SR1 1JG, GB",SR1 1JG,1,8,4h 8m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=30-32%20John%20Street%20%2C%20Sunderland%2C%20SR1%201JG%2C%20GB,https://tcg.ravensburgerplay.com/events/580484,https://tcg.ravensburgerplay.com/events/415720,£7.00,2026-05-16T13:41:57.209268
2026-06-07,Happy Piranha / Piranha Cafe,"18, Pydar St, Truro, England, TR1 2AY, GB",TR1 2AY,5,17,5h 16m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=18%2C%20Pydar%20St%2C%20Truro%2C%20England%2C%20TR1%202AY%2C%20GB,https://tcg.ravensburgerplay.com/events/585948,https://tcg.ravensburgerplay.com/events/429503,£10.00,2026-05-16T13:41:54.806545

2026-06-13,GlobalGaming Arena,"City Center, 15 Shaw's Passage, West Midlands, England, B5 5JG, GB",B5 5JG,5,8,1h 21m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=City%20Center%2C%2015%20Shaw%27s%20Passage%2C%20West%20Midlands%2C%20England%2C%20B5%205JG%2C%20GB,https://tcg.ravensburgerplay.com/events/484804,https://tcg.ravensburgerplay.com/events/348880,£10.00,2026-05-16T13:42:04.207088
2026-06-13,Geek Retreat Chelmsford,"48 Townfield Street, Chelmsford, England, CM1 1AQ, GB",CM1 1AQ,0,15,1h 24m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=48%20Townfield%20Street%2C%20Chelmsford%2C%20England%2C%20CM1%201AQ%2C%20GB,https://tcg.ravensburgerplay.com/events/492393,https://tcg.ravensburgerplay.com/events/366288,£10.00,2026-05-16T13:42:01.454058
2026-06-13,The Other Games,"Blue Post House, 128, Newland St, Witham, England, CM8 1BA, GB",CM8 1BA,5,13,1h 33m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=Blue%20Post%20House%2C%20128%2C%20Newland%20St%2C%20Witham%2C%20England%2C%20CM8%201BA%2C%20GB,https://tcg.ravensburgerplay.com/events/486789,https://tcg.ravensburgerplay.com/events/434734,£15.00,2026-05-16T13:41:59.722861
2026-06-13,Geeks Headquarters,"3 High St, Chesterfield, England, S40 1PS, GB",S40 1PS,1,13,1h 52m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=3%20High%20St%2C%20Chesterfield%2C%20England%2C%20S40%201PS%2C%20GB,https://tcg.ravensburgerplay.com/events/599460,https://tcg.ravensburgerplay.com/events/416323,£15.00,2026-05-17T12:28:26.852380
2026-06-13,Games Network,"100 Blatchington Road, hove, England, BN3 3YF, GB",BN3 3YF,0,10,2h 7m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=100%20Blatchington%20Road%2C%20hove%2C%20England%2C%20BN3%203YF%2C%20GB,https://tcg.ravensburgerplay.com/events/586331,https://tcg.ravensburgerplay.com/events/313584,£12.50,2026-05-16T13:42:02.675254
2026-06-13,Norton TCG,"84b High Street, Midsomer Norton, England, BA3 2DE, GB",BA3 2DE,0,10,2h 39m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=84b%20High%20Street%2C%20Midsomer%20Norton%2C%20England%2C%20BA3%202DE%2C%20GB,https://tcg.ravensburgerplay.com/events/493412,https://tcg.ravensburgerplay.com/events/443839,£10.00,2026-05-16T13:41:59.065806
2026-06-13,Entoyment Hobby and Games Centre,"27-29 Harwell Road, Nuffield Industrial Estate, Poole, Dorset, BH17 0GE, GB",BH17 0GE,2,19,2h 40m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=27-29%20Harwell%20Road%2C%20Nuffield%20Industrial%20Estate%2C%20Poole%2C%20Dorset%2C%20BH17%200GE%2C%20GB,https://tcg.ravensburgerplay.com/events/517524,https://tcg.ravensburgerplay.com/events/413782,£15.00,2026-05-16T13:41:58.614773
2026-06-13,Firestorm Games Cardiff,"Sloper Rd, Cardiff, Wales, CF11 8AB, GB",CF11 8AB,0,12,3h 3m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=Sloper%20Rd%2C%20Cardiff%2C%20Wales%2C%20CF11%208AB%2C%20GB,https://tcg.ravensburgerplay.com/events/489016,https://tcg.ravensburgerplay.com/events/434906,£20.00,2026-05-16T13:42:02.064180
2026-06-13,Red October Games,"Main Rd, Stocksfield, England, NE43 7BW, GB",NE43 7BW,3,22,4h 27m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=Main%20Rd%2C%20Stocksfield%2C%20England%2C%20NE43%207BW%2C%20GB,https://tcg.ravensburgerplay.com/events/495018,https://tcg.ravensburgerplay.com/events/349773,£20.00,2026-05-16T13:41:57.815787
2026-06-13,Mad for Miniatures Ltd,"Market Hill, St Austell, England, PL25 5QB, GB",PL25 5QB,5,22,5h 6m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=Market%20Hill%2C%20St%20Austell%2C%20England%2C%20PL25%205QB%2C%20GB,https://tcg.ravensburgerplay.com/events/577826,https://tcg.ravensburgerplay.com/events/418261,£10.00,2026-05-16T13:42:03.188613
2026-06-13,Tokyotoys Glasgow,"27 Union Street, Tokyotoys, Glasgow, Scotland, G1 3RB, GB",G1 3RB,1,18,6h 26m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=27%20Union%20Street%2C%20Tokyotoys%2C%20Glasgow%2C%20Scotland%2C%20G1%203RB%2C%20GB,https://tcg.ravensburgerplay.com/events/480389,https://tcg.ravensburgerplay.com/events/361801,£20.00,2026-05-16T13:42:03.706052

2026-06-14,CommuniTea Gaming,"Unit 16-17, Orton Gate Shopping Centre, Peterborough, England, PE2 5TD, GB",PE2 5TD,2,10,1h 5m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=Unit%2016-17%2C%20Orton%20Gate%20Shopping%20Centre%2C%20Peterborough%2C%20England%2C%20PE2%205TD%2C%20GB,https://tcg.ravensburgerplay.com/events/585889,https://tcg.ravensburgerplay.com/events/441143,£15.00,2026-05-16T13:42:05.680157
2026-06-14,Elemental Cards,"Heathlands Rd, Wokingham, England, RG40 3AW, GB",RG40 3AW,5,25,1h 22m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=Heathlands%20Rd%2C%20Wokingham%2C%20England%2C%20RG40%203AW%2C%20GB,https://tcg.ravensburgerplay.com/events/582980,https://tcg.ravensburgerplay.com/events/397899,£30.00,2026-05-16T13:42:04.698516
2026-06-14,The Games Shop,"6 Wellington Street, Aldershot, England, GU11 1DZ, GB",GU11 1DZ,0,17,1h 25m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=6%20Wellington%20Street%2C%20Aldershot%2C%20England%2C%20GU11%201DZ%2C%20GB,https://tcg.ravensburgerplay.com/events/580542,https://tcg.ravensburgerplay.com/events/351862,£15.00,2026-05-16T13:42:05.201583
2026-06-14,Geek Retreat Ipswich,"41A Upper Brook Street, Ipswich, England, IP13 7EB, GB",IP13 7EB,0,14,2h 16m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=41A%20Upper%20Brook%20Street%2C%20Ipswich%2C%20England%2C%20IP13%207EB%2C%20GB,https://tcg.ravensburgerplay.com/events/601488,https://tcg.ravensburgerplay.com/events/371265,£10.00,2026-05-18T11:12:40.119302
2026-06-14,Jester Games Store,"35 King St E, 35 King Street East, Stockport, England, SK1 1XJ, GB",SK1 1XJ,1,19,2h 44m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=35%20King%20St%20E%2C%2035%20King%20Street%20East%2C%20Stockport%2C%20England%2C%20SK1%201XJ%2C%20GB,https://tcg.ravensburgerplay.com/events/544941,https://tcg.ravensburgerplay.com/events/427746,£25.00,2026-05-16T13:42:06.269755
2026-06-14,Merchants' Guild,"50 Albion St, G1 1LH, Glasgow, Scotland, G1 1LH, GB",G1 1LH,0,12,6h 24m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=50%20Albion%20St%2C%20G1%201LH%2C%20Glasgow%2C%20Scotland%2C%20G1%201LH%2C%20GB,https://tcg.ravensburgerplay.com/events/579998,https://tcg.ravensburgerplay.com/events/370823,£20.00,2026-05-16T13:42:06.883273

2026-06-20,Marquee Models,"71 Harvey Centre Approach, Harlow, England, CM201XS, GB",CM201XS,0,8,1h 5m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=71%20Harvey%20Centre%20Approach%2C%20Harlow%2C%20England%2C%20CM201XS%2C%20GB,https://tcg.ravensburgerplay.com/events/503021,https://tcg.ravensburgerplay.com/events/395405,£15.00,2026-05-16T13:42:09.615888
2026-06-20,Angle Gaming Lounge,"939 Lincoln Road, Peterborough, England, pe4 6af, GB",PE4 6AF,1,11,1h 12m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=939%20Lincoln%20Road%2C%20Peterborough%2C%20England%2C%20pe4%206af%2C%20GB,https://tcg.ravensburgerplay.com/events/483033,https://tcg.ravensburgerplay.com/events/364627,£10.00,2026-05-16T13:42:12.031740
2026-06-20,Lionsheart Bookshop and Cafe,"67 Commercial Way, Woking, England, GU21 6HN, GB",GU21 6HN,9,8,1h 12m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=67%20Commercial%20Way%2C%20Woking%2C%20England%2C%20GU21%206HN%2C%20GB,https://tcg.ravensburgerplay.com/events/578138,https://tcg.ravensburgerplay.com/events/481649,£15.00,2026-05-16T13:42:13.899318
2026-06-20,The Dice Cup,"68-70 Mansfield Road, Nottingham, England, NG1 3GY, GB",NG1 3GY,1,15,1h 34m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=68-70%20Mansfield%20Road%2C%20Nottingham%2C%20England%2C%20NG1%203GY%2C%20GB,https://tcg.ravensburgerplay.com/events/567650,https://tcg.ravensburgerplay.com/events/454161,£12.00,2026-05-16T13:42:10.654500
2026-06-20,The Ludoquist,"63-67 High Street, London, England, CR0 1QE, GB",CR0 1QE,0,11,1h 42m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=63-67%20High%20Street%2C%20London%2C%20England%2C%20CR0%201QE%2C%20GB,https://tcg.ravensburgerplay.com/events/594399,https://tcg.ravensburgerplay.com/events/472836,£0.20,2026-05-16T13:42:13.112824
2026-06-20,Zatu Gaming Centre,"40 Barnard Road, Bowthorpe Employment Area, England, NR5 9JB, GB",NR5 9JB,0,13,2h 16m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=40%20Barnard%20Road%2C%20Bowthorpe%20Employment%20Area%2C%20England%2C%20NR5%209JB%2C%20GB,https://tcg.ravensburgerplay.com/events/594966,https://tcg.ravensburgerplay.com/events/280166,£15.00,2026-05-16T13:42:08.804471
2026-06-20,Firestorm Games Newport,"Spytty Road, Tesco, Newport, NP19 4TX, GB",NP19 4TX,0,13,2h 35m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=Spytty%20Road%2C%20Tesco%2C%20Newport%2C%20NP19%204TX%2C%20GB,https://tcg.ravensburgerplay.com/events/538400,https://tcg.ravensburgerplay.com/events/402561,£17.00,2026-05-16T13:42:08.314257
2026-06-20,Hull Pops Gaming Centre,"Unit 26 Priory Tec Pk, Saxon Way, Hessle, England, HU13 9PB, GB",HU13 9PB,0,12,2h 49m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=Unit%2026%20Priory%20Tec%20Pk%2C%20Saxon%20Way%2C%20Hessle%2C%20England%2C%20HU13%209PB%2C%20GB,https://tcg.ravensburgerplay.com/events/604282,https://tcg.ravensburgerplay.com/events/347311,£15.00,2026-05-19T11:14:56.705207
2026-06-20,Geek Retreat Chester,"Chester Retail Park, 5B, Old Seals Way, Chester, England, CH1 4RY, GB",CH1 4RY,9,8,2h 51m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=Chester%20Retail%20Park%2C%205B%2C%20Old%20Seals%20Way%2C%20Chester%2C%20England%2C%20CH1%204RY%2C%20GB,https://tcg.ravensburgerplay.com/events/487431,https://tcg.ravensburgerplay.com/events/444113,£15.00,2026-05-16T13:42:07.646981
2026-06-20,Fan Boy Three,"25 Hilton Street, Greater Manchester, England, M1 1EL, GB",M1 1EL,1,23,2h 54m,https://www.google.com/maps/dir/?api=1&origin=MK10%200BA&destination=25%20Hilton%20Street%2C%20Greater%20Manchester%2C%20England%2C%20M1%201EL%2C%20GB,https://tcg.ravensburgerplay.com/events/490545,https://tcg.ravensburgerplay.com/events/349932,£15.00,2026-05-16T13:42:11.490340
