Date,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link
2026-06-06,Oxshed Cafe,"5 Ratcliffe Court, Oxshed Cafe, Wallingford, England, OX109QF, GB",OX109QF,5,20,1h 50m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=5%20Ratcliffe%20Court%2C%20Oxshed%20Cafe%2C%20Wallingford%2C%20England%2C%20OX109QF%2C%20GB,https://tcg.ravensburgerplay.com/events/520258,https://tcg.ravensburgerplay.com/events/451980
2026-06-06,prestige wargaming,"34 Shambles Street, prestige wargaming, Barnsley, England, S702SH, GB",S702SH,0,3,1h 54m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=34%20Shambles%20Street%2C%20prestige%20wargaming%2C%20Barnsley%2C%20England%2C%20S702SH%2C%20GB,https://tcg.ravensburgerplay.com/events/501442,https://tcg.ravensburgerplay.com/events/281623
2026-06-06,Do or Dice,"Do or Dice, unit 6b, Addlestone One, Addlestone, Su, KT15 2GN, UK",KT15 2GN,1,14,2h 17m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=Do%20or%20Dice%2C%20unit%206b%2C%20Addlestone%20One%2C%20Addlestone%2C%20Su%2C%20KT15%202GN%2C%20UK,https://tcg.ravensburgerplay.com/events/516130,https://tcg.ravensburgerplay.com/events/434913

2026-06-07,Manaforge Games,"5, Babington Ln, Derby, England, DE1 1SU, GB",DE1 1SU,0,8,58m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=5%2C%20Babington%20Ln%2C%20Derby%2C%20England%2C%20DE1%201SU%2C%20GB,https://tcg.ravensburgerplay.com/events/501901,https://tcg.ravensburgerplay.com/events/428703
2026-06-07,Rules of Play,"29 Castle Arcade, Cardiff, Wales, CF10 1BW, GB",CF10 1BW,0,17,2h 16m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=29%20Castle%20Arcade%2C%20Cardiff%2C%20Wales%2C%20CF10%201BW%2C%20GB,https://tcg.ravensburgerplay.com/events/512034,https://tcg.ravensburgerplay.com/events/463729
2026-06-07,Geek Retreat Sunderland,"30-32 John Street , Sunderland, SR1 1JG, GB",SR1 1JG,0,8,3h 43m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=30-32%20John%20Street%20%2C%20Sunderland%2C%20SR1%201JG%2C%20GB,https://tcg.ravensburgerplay.com/events/580484,https://tcg.ravensburgerplay.com/events/415720

2026-06-13,GlobalGaming Arena,"City Center, 15 Shaw's Passage, West Midlands, England, B5 5JG, GB",B5 5JG,4,8,1m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=City%20Center%2C%2015%20Shaw%27s%20Passage%2C%20West%20Midlands%2C%20England%2C%20B5%205JG%2C%20GB,https://tcg.ravensburgerplay.com/events/484804,https://tcg.ravensburgerplay.com/events/348880
2026-06-13,Norton TCG,"84b High Street, Midsomer Norton, England, BA3 2DE, GB",BA3 2DE,0,10,2h 19m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=84b%20High%20Street%2C%20Midsomer%20Norton%2C%20England%2C%20BA3%202DE%2C%20GB,https://tcg.ravensburgerplay.com/events/493412,https://tcg.ravensburgerplay.com/events/443839
2026-06-13,Firestorm Games Cardiff,"Sloper Rd, Cardiff, Wales, CF11 8AB, GB",CF11 8AB,0,12,2h 21m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=Sloper%20Rd%2C%20Cardiff%2C%20Wales%2C%20CF11%208AB%2C%20GB,https://tcg.ravensburgerplay.com/events/489016,https://tcg.ravensburgerplay.com/events/434906
2026-06-13,Geek Retreat Chelmsford,"48 Townfield Street, Chelmsford, England, CM1 1AQ, GB",CM1 1AQ,0,15,2h 41m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=48%20Townfield%20Street%2C%20Chelmsford%2C%20England%2C%20CM1%201AQ%2C%20GB,https://tcg.ravensburgerplay.com/events/492393,https://tcg.ravensburgerplay.com/events/366288
2026-06-13,The Other Games,"Blue Post House, 128, Newland St, Witham, England, CM8 1BA, GB",CM8 1BA,5,13,2h 45m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=Blue%20Post%20House%2C%20128%2C%20Newland%20St%2C%20Witham%2C%20England%2C%20CM8%201BA%2C%20GB,https://tcg.ravensburgerplay.com/events/486789,https://tcg.ravensburgerplay.com/events/434734
2026-06-13,Entoyment Hobby and Games Centre,"27-29 Harwell Road, Nuffield Industrial Estate, Poole, Dorset, BH17 0GE, GB",BH17 0GE,1,19,3h 15m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=27-29%20Harwell%20Road%2C%20Nuffield%20Industrial%20Estate%2C%20Poole%2C%20Dorset%2C%20BH17%200GE%2C%20GB,https://tcg.ravensburgerplay.com/events/517524,https://tcg.ravensburgerplay.com/events/413782
2026-06-13,Red October Games,"Main Rd, Stocksfield, England, NE43 7BW, GB",NE43 7BW,2,22,4h 2m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=Main%20Rd%2C%20Stocksfield%2C%20England%2C%20NE43%207BW%2C%20GB,https://tcg.ravensburgerplay.com/events/495018,https://tcg.ravensburgerplay.com/events/349773
2026-06-13,Mad for Miniatures Ltd,"Market Hill, St Austell, England, PL25 5QB, GB",PL25 5QB,0,22,4h 30m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=Market%20Hill%2C%20St%20Austell%2C%20England%2C%20PL25%205QB%2C%20GB,https://tcg.ravensburgerplay.com/events/577826,https://tcg.ravensburgerplay.com/events/418261
2026-06-13,Tokyotoys Glasgow,"27 Union Street, Tokyotoys, Glasgow, Scotland, G1 3RB, GB",G1 3RB,1,18,5h 22m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=27%20Union%20Street%2C%20Tokyotoys%2C%20Glasgow%2C%20Scotland%2C%20G1%203RB%2C%20GB,https://tcg.ravensburgerplay.com/events/480389,https://tcg.ravensburgerplay.com/events/361801

2026-06-14,Jester Games Store,"35 King St E, 35 King Street East, Stockport, England, SK1 1XJ, GB",SK1 1XJ,0,19,1h 40m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=35%20King%20St%20E%2C%2035%20King%20Street%20East%2C%20Stockport%2C%20England%2C%20SK1%201XJ%2C%20GB,https://tcg.ravensburgerplay.com/events/544941,https://tcg.ravensburgerplay.com/events/427746
2026-06-14,Merchants' Guild,"50 Albion St, G1 1LH, Glasgow, Scotland, G1 1LH, GB",G1 1LH,0,12,5h 19m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=50%20Albion%20St%2C%20G1%201LH%2C%20Glasgow%2C%20Scotland%2C%20G1%201LH%2C%20GB,https://tcg.ravensburgerplay.com/events/579998,https://tcg.ravensburgerplay.com/events/370823

2026-06-20,The Dice Cup,"68-70 Mansfield Road, Nottingham, England, NG1 3GY, GB",NG1 3GY,0,15,1h 9m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=68-70%20Mansfield%20Road%2C%20Nottingham%2C%20England%2C%20NG1%203GY%2C%20GB,https://tcg.ravensburgerplay.com/events/567650,https://tcg.ravensburgerplay.com/events/454161
2026-06-20,Angle Gaming Lounge,"939 Lincoln Road, Peterborough, England, pe4 6af, GB",PE4 6AF,1,11,1h 45m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=939%20Lincoln%20Road%2C%20Peterborough%2C%20England%2C%20pe4%206af%2C%20GB,https://tcg.ravensburgerplay.com/events/483033,https://tcg.ravensburgerplay.com/events/364627
2026-06-20,Geek Retreat Chester,"Chester Retail Park, 5B, Old Seals Way, Chester, England, CH1 4RY, GB",CH1 4RY,8,8,1h 46m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=Chester%20Retail%20Park%2C%205B%2C%20Old%20Seals%20Way%2C%20Chester%2C%20England%2C%20CH1%204RY%2C%20GB,https://tcg.ravensburgerplay.com/events/487431,https://tcg.ravensburgerplay.com/events/444113
2026-06-20,Fan Boy Three,"25 Hilton Street, Greater Manchester, England, M1 1EL, GB",M1 1EL,1,23,1h 50m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=25%20Hilton%20Street%2C%20Greater%20Manchester%2C%20England%2C%20M1%201EL%2C%20GB,https://tcg.ravensburgerplay.com/events/490545,https://tcg.ravensburgerplay.com/events/349932
2026-06-20,Firestorm Games Newport,"Spytty Road, Tesco, Newport, NP19 4TX, GB",NP19 4TX,0,13,1h 53m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=Spytty%20Road%2C%20Tesco%2C%20Newport%2C%20NP19%204TX%2C%20GB,https://tcg.ravensburgerplay.com/events/538400,https://tcg.ravensburgerplay.com/events/402561
2026-06-20,Marquee Models,"71 Harvey Centre Approach, Harlow, England, CM201XS, GB",CM201XS,0,8,2h 22m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=71%20Harvey%20Centre%20Approach%2C%20Harlow%2C%20England%2C%20CM201XS%2C%20GB,https://tcg.ravensburgerplay.com/events/503021,https://tcg.ravensburgerplay.com/events/395405
2026-06-20,Roll The Dice Cornwall C.I.C.,"8 Coinagehall St, Helston TR13 8EB, UK",TR13 8EB,7,8,5h 4m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=8%20Coinagehall%20St%2C%20Helston%20TR13%208EB%2C%20UK,https://tcg.ravensburgerplay.com/events/487405,https://tcg.ravensburgerplay.com/events/412513
2026-06-20,Northern Card Gaming,"142 Frances Street, Ards and North Down, Newtownards, Northern Ireland, BT23 7DY, GB",BT23 7DY,0,13,8h 46m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=142%20Frances%20Street%2C%20Ards%20and%20North%20Down%2C%20Newtownards%2C%20Northern%20Ireland%2C%20BT23%207DY%2C%20GB,https://tcg.ravensburgerplay.com/events/490063,https://tcg.ravensburgerplay.com/events/418920

2026-06-21,Black Dragon Games Ltd,"17 Burton Street, Melton Mowbray, England, le13 1ae, GB",LE13 1AE,1,34,1h 16m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=17%20Burton%20Street%2C%20Melton%20Mowbray%2C%20England%2C%20le13%201ae%2C%20GB,https://tcg.ravensburgerplay.com/events/483955,https://tcg.ravensburgerplay.com/events/448962
2026-06-21,Knightly Gaming,"2-6 Hopetoun Street, Bathgate, Scotland, EH48 4EU, GB",EH48 4EU,0,18,5h 26m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=2-6%20Hopetoun%20Street%2C%20Bathgate%2C%20Scotland%2C%20EH48%204EU%2C%20GB,https://tcg.ravensburgerplay.com/events/526125,https://tcg.ravensburgerplay.com/events/483545
2026-06-21,Replay,"97 High Street, Bangor, Northern Ireland, bt20 5bd, GB",BT20 5BD,0,13,8h 53m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=97%20High%20Street%2C%20Bangor%2C%20Northern%20Ireland%2C%20bt20%205bd%2C%20GB,https://tcg.ravensburgerplay.com/events/567716,https://tcg.ravensburgerplay.com/events/434769

2026-06-27,Drinks and Dice,"10, Church Rd, London, England, TW11 8PB, GB",TW11 8PB,3,8,2h 26m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=10%2C%20Church%20Rd%2C%20London%2C%20England%2C%20TW11%208PB%2C%20GB,https://tcg.ravensburgerplay.com/events/559092,https://tcg.ravensburgerplay.com/events/307190
2026-06-27,Lazy Dragon Gaming,"231, Dickson Rd, Blackpool, England, FY1 2JH, GB",FY1 2JH,2,11,2h 28m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=231%2C%20Dickson%20Rd%2C%20Blackpool%2C%20England%2C%20FY1%202JH%2C%20GB,https://tcg.ravensburgerplay.com/events/487790,https://tcg.ravensburgerplay.com/events/400819
2026-06-27,Nerd Base,"Knightswick Road, Canvey Island, England, SS8 7AD, GB",SS8 7AD,0,16,2h 52m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=Knightswick%20Road%2C%20Canvey%20Island%2C%20England%2C%20SS8%207AD%2C%20GB,https://tcg.ravensburgerplay.com/events/567507,https://tcg.ravensburgerplay.com/events/349716
2026-06-27,Athena Games,"9, St Gregory's Alley, Norwich, England, NR2 1ER, GB",NR2 1ER,0,18,3h 5m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=9%2C%20St%20Gregory%27s%20Alley%2C%20Norwich%2C%20England%2C%20NR2%201ER%2C%20GB,https://tcg.ravensburgerplay.com/events/547878,https://tcg.ravensburgerplay.com/events/437072
2026-06-27,Dice Saloon Ltd,"88 London Road, Brighton, England, BN1 4JF, GB",BN1 4JF,0,14,3h 17m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=88%20London%20Road%2C%20Brighton%2C%20England%2C%20BN1%204JF%2C%20GB,https://tcg.ravensburgerplay.com/events/547466,https://tcg.ravensburgerplay.com/events/443792
2026-06-27,The Consulting Gamer,"2 Chapel Mews, Ashford , England, TN24 8JN, GB",TN24 8JN,0,21,3h 23m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=2%20Chapel%20Mews%2C%20Ashford%20%2C%20England%2C%20TN24%208JN%2C%20GB,https://tcg.ravensburgerplay.com/events/540452,https://tcg.ravensburgerplay.com/events/435237
2026-06-27,Bus Stop Toy Shop Ltd,"23 Irvine Rd, Largs, Scotland, KA30 8HR, GB",KA30 8HR,0,9,5h 56m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=23%20Irvine%20Rd%2C%20Largs%2C%20Scotland%2C%20KA30%208HR%2C%20GB,https://tcg.ravensburgerplay.com/events/580158,https://tcg.ravensburgerplay.com/events/451529
2026-06-27,Puca Puca Games,"11 Great James Street, Derry and Strabane, Northern Ireland, BT48 7BZ, GB",BT48 7BZ,0,N/A,N/A,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=11%20Great%20James%20Street%2C%20Derry%20and%20Strabane%2C%20Northern%20Ireland%2C%20BT48%207BZ%2C%20GB,https://tcg.ravensburgerplay.com/events/485664,

2026-06-28,Zombie Games Cafe,"15 Cricklewood Broadway, London, England, NW2 3JX, GB",NW2 3JX,0,N/A,2h 9m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=15%20Cricklewood%20Broadway%2C%20London%2C%20England%2C%20NW2%203JX%2C%20GB,https://tcg.ravensburgerplay.com/events/511726,
2026-06-28,Triple Helix Wargames,"Cory Way, Unit 10, Westbury, England, BA13 4QT, GB",BA13 4QT,0,9,2h 22m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=Cory%20Way%2C%20Unit%2010%2C%20Westbury%2C%20England%2C%20BA13%204QT%2C%20GB,https://tcg.ravensburgerplay.com/events/494363,https://tcg.ravensburgerplay.com/events/397182
2026-06-28,The Kobolds Kettle,"8 Market Square, The Kobolds Kettle, Lytham St Annes, England, FY8 5LW, GB",FY8 5LW,0,12,2h 25m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=8%20Market%20Square%2C%20The%20Kobolds%20Kettle%2C%20Lytham%20St%20Annes%2C%20England%2C%20FY8%205LW%2C%20GB,https://tcg.ravensburgerplay.com/events/558793,https://tcg.ravensburgerplay.com/events/408892
2026-06-28,Robins Hobby Cafe,"9, Queens Rd, Belfast, Northern Ireland, BT3 9DT, GB",BT3 9DT,0,12,8h 34m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=9%2C%20Queens%20Rd%2C%20Belfast%2C%20Northern%20Ireland%2C%20BT3%209DT%2C%20GB,https://tcg.ravensburgerplay.com/events/558627,https://tcg.ravensburgerplay.com/events/387053

2026-07-04,Jack in a Box,"1a High Street, 1 Barclay Building, High Street, Ripley, England, DE5 3AA, GB",DE5 3AA,8,14,1h 9m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=1a%20High%20Street%2C%201%20Barclay%20Building%2C%20High%20Street%2C%20Ripley%2C%20England%2C%20DE5%203AA%2C%20GB,https://tcg.ravensburgerplay.com/events/547776,https://tcg.ravensburgerplay.com/events/446583
2026-07-04,The Gamers Lodge,"61 Kempston St, Liverpool, England, L3 8ET, GB",L3 8ET,1,14,1h 55m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=61%20Kempston%20St%2C%20Liverpool%2C%20England%2C%20L3%208ET%2C%20GB,https://tcg.ravensburgerplay.com/events/568392,https://tcg.ravensburgerplay.com/events/389632
2026-07-04,The Brotherhood Games Ltd,"210-212 Southwark Park Rd., London, England, SE16 3RW, GB",SE16 3RW,0,27,2h 45m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=210-212%20Southwark%20Park%20Rd.%2C%20London%2C%20England%2C%20SE16%203RW%2C%20GB,https://tcg.ravensburgerplay.com/events/580489,https://tcg.ravensburgerplay.com/events/410971
2026-07-04,Union County Games Ltd,"21, Whipton Village Rd, Whipton, England, EX4 8AN, GB",EX4 8AN,0,22,3h 2m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=21%2C%20Whipton%20Village%20Rd%2C%20Whipton%2C%20England%2C%20EX4%208AN%2C%20GB,https://tcg.ravensburgerplay.com/events/574954,https://tcg.ravensburgerplay.com/events/444067
2026-07-04,Get Decked Games,"63, South Bridge St, Airdrie, Scotland, ML6 6JH, GB",ML6 6JH,0,15,5h 17m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=63%2C%20South%20Bridge%20St%2C%20Airdrie%2C%20Scotland%2C%20ML6%206JH%2C%20GB,https://tcg.ravensburgerplay.com/events/525626,https://tcg.ravensburgerplay.com/events/274762

2026-07-05,Drewtopia LTD T/A Boardroom Gaming Cafe,"13 New Street, 13 New Street, Telford, England, TF1 1LU, GB",TF1 1LU,0,16,47m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=13%20New%20Street%2C%2013%20New%20Street%2C%20Telford%2C%20England%2C%20TF1%201LU%2C%20GB,https://tcg.ravensburgerplay.com/events/575005,https://tcg.ravensburgerplay.com/events/381094
2026-07-05,Geek Retreat Stevenage,"Park Place Plaza, Stevenage, England, SG1 1BF, GB",SG1 1BF,0,10,2h 1m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=Park%20Place%20Plaza%2C%20Stevenage%2C%20England%2C%20SG1%201BF%2C%20GB,https://tcg.ravensburgerplay.com/events/547872,https://tcg.ravensburgerplay.com/events/279734
2026-07-05,Bath TCG,"4, Victoria Buildings, Lower Bristol Rd, Bath, England, BA2 3EH, GB",BA2 3EH,0,12,2h 5m,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=4%2C%20Victoria%20Buildings%2C%20Lower%20Bristol%20Rd%2C%20Bath%2C%20England%2C%20BA2%203EH%2C%20GB,https://tcg.ravensburgerplay.com/events/543401,https://tcg.ravensburgerplay.com/events/275770
2026-07-05,Bad Wolf Gaming UK,"19 Whitefriargate, Hull HU1, UK",,2,2,N/A,https://www.google.com/maps/dir/?api=1&origin=MK6&destination=19%20Whitefriargate%2C%20Hull%20HU1%2C%20UK,https://tcg.ravensburgerplay.com/events/487523,https://tcg.ravensburgerplay.com/events/303630
